doc_id,condition,sample,scope,precision,recall,f1,window_diff,boundary_similarity,hyp_ref_ratio,n_ref_boundaries,n_hyp_boundaries,flagged,collapse_rate,share_words_in_runs,total_window_draws
SBC052,A,3,all_boundaries,0.4921,0.8661,0.6276,0.4600,0.5042,1.7599,1516,2668,False,0.2600,0.0069,50
SBC052,A,0,within_turn,0.3566,0.7276,0.4786,0.5381,0.3815,2.0402,969,1977,True,0.2600,0.0069,50
SBC052,A,0,all_boundaries,0.4960,0.8259,0.6198,0.4319,0.5107,1.6649,1516,2524,True,0.2600,0.0069,50
SBC052,A,1,within_turn,0.3545,0.8122,0.4936,0.5928,0.3746,2.2910,969,2220,True,0.2600,0.0069,50
SBC052,A,1,all_boundaries,0.4821,0.8799,0.6229,0.4675,0.4959,1.8252,1516,2767,True,0.2600,0.0069,50
SBC052,A,4,within_turn,0.3677,0.7585,0.4953,0.5432,0.3863,2.0630,969,1999,True,0.2600,0.0069,50
SBC052,A,4,all_boundaries,0.5035,0.8456,0.6312,0.4324,0.5137,1.6794,1516,2546,True,0.2600,0.0069,50
SBC052,B,0,within_turn,0.4591,0.7007,0.5547,0.4274,0.4396,1.5263,969,1479,False,0.1800,0.0037,50
SBC052,B,0,all_boundaries,0.6051,0.8087,0.6923,0.3281,0.5782,1.3364,1516,2026,False,0.1800,0.0037,50
SBC052,B,2,within_turn,0.4392,0.7152,0.5442,0.4525,0.4300,1.6285,969,1578,False,0.1800,0.0037,50
SBC052,B,2,all_boundaries,0.5835,0.8179,0.6811,0.3477,0.5662,1.4017,1516,2125,False,0.1800,0.0037,50
SBC052,B,3,within_turn,0.4243,0.7110,0.5314,0.4630,0.4219,1.6760,969,1624,False,0.1800,0.0037,50
SBC052,B,3,all_boundaries,0.5693,0.8153,0.6705,0.3617,0.5578,1.4321,1516,2171,False,0.1800,0.0037,50
SBC052,B,4,within_turn,0.4333,0.6502,0.5200,0.4299,0.4302,1.5005,969,1454,False,0.1800,0.0037,50
SBC052,B,4,all_boundaries,0.5882,0.7764,0.6693,0.3338,0.5727,1.3199,1516,2001,False,0.1800,0.0037,50
SBC052,B,1,within_turn,0.4106,0.6873,0.5141,0.4325,0.4017,1.6739,969,1622,True,0.1800,0.0037,50
SBC052,B,1,all_boundaries,0.5592,0.8001,0.6583,0.3476,0.5408,1.4307,1516,2169,True,0.1800,0.0037,50
SBC044,A,0,within_turn,0.3174,0.8458,0.4616,0.6571,0.3317,2.6646,1109,2955,True,0.4727,0.0187,55
SBC044,A,0,all_boundaries,0.3665,0.8722,0.5161,0.5341,0.3790,2.3797,1338,3184,True,0.4727,0.0187,55
SBC044,A,1,within_turn,0.3250,0.8305,0.4672,0.6481,0.3442,2.5555,1109,2834,True,0.4727,0.0187,55
SBC044,A,1,all_boundaries,0.3754,0.8595,0.5226,0.5221,0.3924,2.2892,1338,3063,True,0.4727,0.0187,55
SBC044,A,2,within_turn,0.3516,0.8151,0.4913,0.6048,0.3688,2.3183,1109,2571,True,0.4727,0.0187,55
SBC044,A,2,all_boundaries,0.4046,0.8468,0.5476,0.4758,0.4193,2.0927,1338,2800,True,0.4727,0.0187,55
SBC044,A,3,within_turn,0.2951,0.7944,0.4304,0.6941,0.3218,2.6916,1109,2985,True,0.4727,0.0187,55
SBC044,A,3,all_boundaries,0.3454,0.8296,0.4877,0.5647,0.3695,2.4021,1338,3214,True,0.4727,0.0187,55
SBC044,A,4,within_turn,0.3195,0.7583,0.4496,0.6445,0.3280,2.3733,1109,2632,True,0.4727,0.0187,55
SBC044,A,4,all_boundaries,0.3740,0.7997,0.5096,0.5163,0.3793,2.1383,1338,2861,True,0.4727,0.0187,55
SBC044,B,0,within_turn,0.4165,0.8115,0.5505,0.5031,0.4226,1.9486,1109,2161,False,0.1273,0.0025,55
SBC044,B,0,all_boundaries,0.4724,0.8438,0.6057,0.3871,0.4757,1.7862,1338,2390,False,0.1273,0.0025,55
SBC044,B,1,within_turn,0.4054,0.8404,0.5469,0.5389,0.4125,2.0730,1109,2299,False,0.1273,0.0025,55
SBC044,B,1,all_boundaries,0.4593,0.8677,0.6006,0.4133,0.4641,1.8894,1338,2528,False,0.1273,0.0025,55
SBC044,B,3,within_turn,0.4213,0.7962,0.5510,0.4855,0.4312,1.8900,1109,2096,False,0.1273,0.0025,55
SBC044,B,3,all_boundaries,0.4783,0.8311,0.6072,0.3747,0.4849,1.7377,1338,2325,False,0.1273,0.0025,55
SBC044,B,4,within_turn,0.4130,0.8242,0.5503,0.5128,0.4217,1.9955,1109,2213,False,0.1273,0.0025,55
SBC044,B,4,all_boundaries,0.4681,0.8543,0.6048,0.3922,0.4741,1.8251,1338,2442,False,0.1273,0.0025,55
SBC044,B,2,within_turn,0.4099,0.8467,0.5524,0.5222,0.4089,2.0658,1109,2291,True,0.1273,0.0025,55
SBC044,B,2,all_boundaries,0.4635,0.8729,0.6055,0.4038,0.4606,1.8834,1338,2520,True,0.1273,0.0025,55
SBC039,A,0,within_turn,0.3414,0.6802,0.4546,0.5601,0.3840,1.9922,766,1526,False,0.0500,0.0032,40
SBC039,A,0,all_boundaries,0.4940,0.8002,0.6108,0.4458,0.5222,1.6199,1226,1986,False,0.0500,0.0032,40
SBC039,A,2,within_turn,0.4126,0.6775,0.5128,0.4574,0.4384,1.6423,766,1258,False,0.0500,0.0032,40
SBC039,A,2,all_boundaries,0.5698,0.7985,0.6651,0.3535,0.5807,1.4013,1226,1718,False,0.0500,0.0032,40
SBC039,A,3,within_turn,0.3864,0.7193,0.5027,0.5085,0.4162,1.8616,766,1426,False,0.0500,0.0032,40
SBC039,A,3,all_boundaries,0.5361,0.8246,0.6497,0.4018,0.5534,1.5383,1226,1886,False,0.0500,0.0032,40
SBC039,A,4,within_turn,0.4015,0.7180,0.5150,0.4896,0.4256,1.7885,766,1370,False,0.0500,0.0032,40
SBC039,A,4,all_boundaries,0.5519,0.8238,0.6610,0.3800,0.5638,1.4927,1226,1830,False,0.0500,0.0032,40
SBC039,A,1,within_turn,0.3660,0.7650,0.4951,0.5460,0.3825,2.0901,766,1601,True,0.0500,0.0032,40
SBC039,A,1,all_boundaries,0.5075,0.8532,0.6364,0.4359,0.5157,1.6811,1226,2061,True,0.0500,0.0032,40
SBC039,B,0,within_turn,0.4097,0.6279,0.4959,0.4505,0.4081,1.5326,766,1174,False,0.0500,0.0006,40
SBC039,B,0,all_boundaries,0.5759,0.7675,0.6580,0.3445,0.5600,1.3328,1226,1634,False,0.0500,0.0006,40
SBC039,B,1,within_turn,0.4287,0.6123,0.5043,0.4392,0.4155,1.4282,766,1094,False,0.0500,0.0006,40
SBC039,B,1,all_boundaries,0.5978,0.7577,0.6683,0.3346,0.5707,1.2675,1226,1554,False,0.0500,0.0006,40
SBC039,B,2,within_turn,0.4659,0.7128,0.5635,0.4222,0.4474,1.5300,766,1172,False,0.0500,0.0006,40
SBC039,B,2,all_boundaries,0.6164,0.8206,0.7040,0.3213,0.5909,1.3312,1226,1632,False,0.0500,0.0006,40
SBC039,B,3,within_turn,0.4630,0.6540,0.5422,0.4250,0.4314,1.4125,766,1082,False,0.0500,0.0006,40
SBC039,B,3,all_boundaries,0.6232,0.7838,0.6944,0.3211,0.5834,1.2577,1226,1542,False,0.0500,0.0006,40
SBC039,B,4,within_turn,0.4563,0.6332,0.5303,0.4247,0.4286,1.3877,766,1063,False,0.0500,0.0006,40
SBC039,B,4,all_boundaries,0.6205,0.7708,0.6875,0.3217,0.5826,1.2423,1226,1523,False,0.0500,0.0006,40
